PEER_TYPE,PEER_NAME
BENCHMARK PEERS,Clarkson University
BENCHMARK PEERS,Colorado School of Mines
BENCHMARK PEERS,Florida Institute of Technology
BENCHMARK PEERS,Illinois Institute of Technology
BENCHMARK PEERS,Michigan Technological University
BENCHMARK PEERS,Missouri University of Science and Technology
BENCHMARK PEERS,Rensselaer Polytechnic Institute
BENCHMARK PEERS,Stevens Institute of Technology
BENCHMARK PEERS,Worcester Polytechnic Institute
ASPIRATIONAL PEERS,California Institute of Technology
ASPIRATIONAL PEERS,Carnegie Mellon University
ASPIRATIONAL PEERS,Georgia Institute of Technology-Main Campus
ASPIRATIONAL PEERS,Massachusetts Institute of Technology
NJ PEERS,Montclair State University
NJ PEERS,Rowan University
NJ PEERS,Rutgers University-New Brunswick
NJ PEERS,Rutgers University-Newark
NJ PEERS,Seton Hall University